sku_id,sku_desc,brand,report_size,uom,product_type,flavor,pack_type,shelf_life_days,is_active
SKU0211,Cranberry Peach Diet Juice 15.2oz PET,Ocean Spray,15.2oz,CASE,Diet Juice,Cranberry Peach,PET,300,Y
SKU0212,Cranberry Apple Juice 15.2oz PET,Ocean Spray,15.2oz,CASE,Juice,Cranberry Apple,PET,365,N
SKU0213,Cranberry Raspberry Blend 96oz Bottle,Ocean Spray,96oz,CASE,Blend,Cranberry Raspberry,Bottle,270,Y
SKU0214,Cran Tropical Blend 96oz PET,Ocean Spray,96oz,CASE,Blend,Cran Tropical,PET,270,Y
SKU0215,Cranberry Raspberry Cocktail 96oz Bottle,Ocean Spray,96oz,CASE,Cocktail,Cranberry Raspberry,Bottle,365,N
SKU0216,Cran Tropical Cocktail 15.2oz PET,Ocean Spray,15.2oz,CASE,Cocktail,Cran Tropical,PET,365,N
SKU0217,Cranberry Grape Juice 64oz Bottle,Ocean Spray,64oz,CASE,Juice,Cranberry Grape,Bottle,365,N
SKU0218,Cran Energy Juice 96oz Case,Ocean Spray,96oz,CASE,Juice,Cran Energy,Case,365,Y
SKU0219,Cran Energy Juice 96oz Bottle,Ocean Spray,96oz,CASE,Juice,Cran Energy,Bottle,365,Y
SKU0220,Cranberry Peach Cocktail 96oz PET,Ocean Spray,96oz,CASE,Cocktail,Cranberry Peach,PET,365,Y
